Company Name,Person,Email,Primary_Designation,Alternate_Person_Name,Alternate_Email,Alternate_Designation,Website,About,Company_Phone,Company_LinkedIn,Industry,Employees,Revenue,Founded,Country,Primary_Phone,Primary_LinkedIn,Alternate2_Name,Alternate2_Email,Alternate2_Title
Maje,,,,,,,https://www.maje.com,"Maje is a French fashion brand founded in 1998 by Judith Milgrom in Paris. The brand offers contemporary women's ready-to-wear collections characterized by feminine silhouettes, Parisian elegance, and modern design. Part of the SMCP group, Maje operates over 600 stores worldwide across Europe, Asia, North America, and the Middle East. The brand targets style-conscious women seeking quality, versatility, and accessible luxury, with increasing focus on sustainable materials and responsible production practices.",+33 1 42 96 77 00,,,0,490.7M,1998,France,,,,,
The Kooples,,,,,,,https://www.thekooples.com,"The Kooples is a French fashion brand founded in 2008 by brothers Alexandre, Laurent, and Raphaël Elicha in Paris. The brand offers rock-inspired, androgynous collections for men and women, blending British elegance with Parisian attitude. With over 400 stores globally and strong e-commerce presence, The Kooples is known for quality leather goods, tailored pieces, and couple collections. The brand emphasizes craftsmanship, timeless style, and accessible luxury targeting urban, fashion-forward consumers.",+33 1 44 77 99 77,http://www.linkedin.com/company/the-kooples,apparel & fashion,1200,320M,2008,France,,,,,
Comptoir des Cotonniers,,,,,,,https://www.comptoirdescotonniers.com,"Comptoir des Cotonniers is a French fashion brand founded in 1995, specializing in contemporary women's ready-to-wear clothing. The brand is known for its minimalist, timeless designs, quality fabrics, and Parisian aesthetic. Comptoir des Cotonniers offers versatile wardrobe staples including knitwear, dresses, and outerwear. With stores across France and international markets, the brand targets modern women seeking elegant, comfortable clothing with an emphasis on natural materials and sustainable practices.",+33 1 43 12 03 33,http://www.linkedin.com/company/comptoir-des-cotonniers-princesse-tam-tam,apparel & fashion,150,6.4M,1995,France,,,,,
Sessùn,,,,,,,https://www.sessun.com,"Sessùn is a French fashion brand founded in 1996 by Emma François in Marseille. The brand offers bohemian, feminine collections inspired by travel, art, and Mediterranean culture. Sessùn is committed to ethical fashion, sustainable materials, and responsible production processes. With boutiques in France and international stockists, the brand creates timeless pieces including dresses, knitwear, and accessories. Sessùn targets conscious consumers seeking quality, unique designs, and brands with strong environmental and social values.",+33 4 86 06 36 04,http://www.linkedin.com/company/sessun,apparel & fashion,300,73M,1996,France,,,,,
American Vintage,,,,,,,https://www.americanvintage.fr,"American Vintage is a French fashion brand founded in 2005 in Marseille by Michaël Azoulay. The brand specializes in comfortable, casual basics with a vintage American aesthetic and French refinement. American Vintage offers essentials including t-shirts, knitwear, dresses, and loungewear in soft, quality fabrics. With stores across Europe and global distribution, the brand emphasizes simplicity, comfort, and timeless design. American Vintage targets consumers seeking relaxed, versatile wardrobe staples with a focus on natural materials.",,,,,,,,,,,,
Iro Paris,,,,,,,https://www.iro.paris,"IRO Paris is a French fashion brand founded in 2004 by brothers Arik and Laurent Bitton in Paris. The brand offers contemporary ready-to-wear collections characterized by rock 'n' roll attitude, Parisian elegance, and quality craftsmanship. IRO specializes in leather goods, denim, knitwear, and statement pieces for men and women. With boutiques in Paris, London, New York, and Asia, plus global wholesale distribution, IRO targets fashion-forward consumers seeking edgy yet sophisticated designs.",,,,,,,,,,,,
Zadig & Voltaire,,,,,,,https://www.zadig-et-voltaire.com,"Zadig & Voltaire is a French luxury fashion brand founded in 1997 by Thierry Gillier in Paris. The brand offers contemporary ready-to-wear collections featuring cashmere knitwear, leather goods, and rock-inspired designs. Known for its rebellious spirit and Parisian chic, Zadig & Voltaire operates over 300 stores worldwide across Europe, North America, and Asia. The brand emphasizes quality materials, craftsmanship, and creative freedom, targeting consumers seeking luxury with an edgy, unconventional aesthetic.",,http://www.linkedin.com/company/zadigetvoltaire,apparel & fashion,1800,409.0M,1997,France,,,,,
Selected Homme,,,,,,,https://www.selected.com,"Selected Homme is a Danish menswear brand founded in 1997, part of the Bestseller fashion group. Based in Denmark, the brand offers contemporary, Scandinavian-inspired clothing combining minimalist design with quality craftsmanship. Selected Homme provides premium essentials including tailoring, outerwear, knitwear, and denim for modern men. With stores across Europe and global e-commerce, the brand focuses on versatile, timeless pieces suitable for both professional and casual settings.",+1 520-806-7600,http://www.linkedin.com/company/selected,staffing & recruiting,25,11.8M,2016,United States,,,,,
Jack & Jones,,,,,,,https://www.jackjones.com,"Jack & Jones is a Danish menswear brand founded in 1990, owned by Bestseller. Headquartered in Denmark, the brand offers contemporary casual wear and denim targeting young men. With over 1,000 stores globally and presence in more than 38 countries, Jack & Jones provides affordable fashion including jeans, t-shirts, shirts, and outerwear. The brand emphasizes trend-led designs, quality denim, and accessible pricing, catering to fashion-conscious consumers seeking versatile everyday menswear.",+44 28 9032 8532,http://www.linkedin.com/company/jack-&-jones,apparel & fashion,3800,250M,1990,Denmark,,,,,
Vero Moda,,,,,,,https://www.veromoda.com,"Vero Moda is a Danish women's fashion brand founded in 1987, owned by Bestseller. Based in Denmark, the brand offers affordable, trend-driven clothing for women worldwide. With over 1,300 stores in more than 50 countries, Vero Moda provides versatile collections including dresses, jeans, tops, and outerwear. The brand targets fashion-conscious women seeking accessible, contemporary designs with Scandinavian influence, emphasizing quality and value with increasing focus on sustainable materials.",+1 855-998-7363,http://www.linkedin.com/company/vero-moda,retail,1400,550M,1987,Denmark,,,,,
Only,,,,,,,https://www.only.com,"ONLY is a Danish fashion brand founded in 1995 by Bestseller. Based in Denmark, the brand offers trendy, affordable women's fashion with a focus on denim, casual wear, and contemporary designs. With presence in over 5,000 stores worldwide across 50+ countries, ONLY targets young women seeking accessible fashion that reflects current trends. The brand emphasizes versatility, quality denim, and casual-chic styling with growing commitment to sustainable practices.",,http://www.linkedin.com/company/onlybrandhouse,apparel & fashion,5000,400.7M,1995,Denmark,,,,,
Wood Wood,,,,,,,https://www.woodwood.com,"Wood Wood is a Danish streetwear and lifestyle brand founded in 2002 in Copenhagen by Karl-Oskar Olsen and Brian SS Jensen. The brand combines Scandinavian minimalism with streetwear culture, creating contemporary clothing, accessories, and collaborations. Wood Wood operates flagship stores in Copenhagen and Aarhus, with global stockists and strong online presence. The brand is known for unique graphics, quality construction, and collaborations with brands like Nike and Champion, targeting fashion-forward consumers seeking distinctive urban style.",+45 33 93 62 64,http://www.linkedin.com/company/woodwood,apparel & fashion,130,35M,2002,Denmark,,,,,
Nudie Jeans,,,,,,,https://www.nudiejeans.com,"Nudie Jeans is a Swedish denim brand founded in 2001 in Gothenburg by Maria Erixon Levin. The brand specializes in sustainable, high-quality jeans using 100% organic cotton. Nudie Jeans is committed to transparency, offering free repairs for life and encouraging denim reuse and recycling. With stores in Sweden and global distribution, the brand targets environmentally conscious consumers seeking durable, ethically produced denim. Nudie Jeans combines Scandinavian design with social and environmental responsibility.",+46 10 151 58 00,http://www.linkedin.com/company/nudie-jeans,apparel & fashion,200,53M,2001,Sweden,,,,,
Filippa K,,,,,,,https://www.filippa-k.com,"Filippa K is a Swedish fashion brand founded in 1993 by Filippa Knutsson in Stockholm. The brand offers minimalist, timeless clothing for men and women with focus on quality, functionality, and Scandinavian design. Filippa K emphasizes sustainable practices, responsible materials, and circular fashion initiatives. With stores in Scandinavia and international stockists, the brand targets conscious consumers seeking versatile, long-lasting wardrobe essentials that transcend seasonal trends.",+46 8 580 979 14,http://www.linkedin.com/company/filippa-k,apparel & fashion,300,40M,1993,Sweden,,,,,
Acne Studios,,,,,,,https://www.acnestudios.com,"Acne Studios is a Swedish luxury fashion brand founded in 1996 in Stockholm by Jonny Johansson. The brand offers avant-garde ready-to-wear, footwear, accessories, and denim for men and women. Known for its innovative designs, quality craftsmanship, and creative expression, Acne Studios operates flagship stores in major cities worldwide. The brand combines Scandinavian minimalism with bold, unconventional aesthetics, targeting fashion-forward consumers seeking distinctive luxury pieces with artistic sensibility.",+46 8 522 996 00,http://www.linkedin.com/company/acne-studios,luxury goods & jewelry,900,221M,1996,Sweden,,,,,
Stutterheim,,,,,,,https://www.stutterheim.com,"Stutterheim is a Swedish rainwear brand founded in 2010 by Alexander Stutterheim in Stockholm. The brand specializes in handmade, waterproof raincoats inspired by traditional Swedish fisherman's coats. Stutterheim offers minimalist, functional outerwear in various colors and styles for men, women, and children. With stores in Stockholm, Copenhagen, and global stockists, the brand emphasizes quality craftsmanship, timeless design, and Swedish heritage, targeting consumers seeking durable, stylish rain protection.",+46 723 28 83 00,http://www.linkedin.com/company/stutterheim,apparel & fashion,46,,2010,Sweden,,,,,
Hope Stockholm,,,,,,,https://www.hope-sthlm.com,"Hope is a Swedish fashion brand founded in 2001 in Stockholm. The brand offers contemporary, minimalist clothing for men and women with focus on tailoring, quality fabrics, and Scandinavian aesthetics. Hope emphasizes sustainable production, ethical practices, and timeless design. With stores in Stockholm and international retailers, the brand targets design-conscious consumers seeking refined, versatile pieces that combine simplicity with sophistication and responsible fashion values.",,http://www.linkedin.com/company/hope-stockholm,apparel & fashion,180,5M,2001,Sweden,,,,,
Tiger of Sweden,,,,,,,https://www.tigerofsweden.com,"Tiger of Sweden is a Swedish fashion brand founded in 1903, originally specializing in tailored menswear. Based in Stockholm, the brand offers contemporary clothing and accessories for men and women, renowned for exceptional tailoring and Scandinavian design. Tiger of Sweden operates stores across Europe and has global distribution. The brand combines traditional craftsmanship with modern aesthetics, targeting professionals and fashion-conscious consumers seeking quality, sophisticated designs with Nordic influence.",+46 8 546 310 00,http://www.linkedin.com/company/tiger-of-sweden,apparel & fashion,260,170M,1903,Sweden,,,,,
Asket,,,,,,,https://www.asket.com,"Asket is a Swedish menswear brand founded in 2015 in Stockholm, focusing on radical transparency and sustainable fashion. The brand offers essential wardrobe staples including t-shirts, shirts, jeans, and outerwear with complete supply chain transparency. Asket operates exclusively online, providing detailed information about costs, materials, and production. The brand targets conscious consumers seeking timeless, durable clothing produced ethically with minimal environmental impact and maximum quality.",+46 90 02 31 06,http://www.linkedin.com/company/asket,apparel & fashion,42,,2015,Sweden,,,,,
Sandqvist,,,,,,,https://www.sandqvist.com,"Sandqvist is a Swedish bag and accessories brand founded in 2004 in Stockholm by Anton Sandqvist and Sebastian Westin. The brand offers functional, minimalist backpacks, bags, and accessories inspired by Swedish nature and urban life. Sandqvist emphasizes sustainable materials, ethical production, and timeless design. With flagship stores in Scandinavia and global distribution, the brand targets outdoor enthusiasts and urban consumers seeking durable, stylish bags with Scandinavian design heritage.",+46 722 24 23 33,http://www.linkedin.com/company/sandqvist-bags-and-items,apparel & fashion,29,,2004,Sweden,,,,,
Holzweiler,,,,,,,https://www.holzweiler.no,"Holzweiler is a Norwegian fashion brand founded in 2012 in Oslo by siblings Susanne and Andreas Holzweiler. The brand offers contemporary ready-to-wear collections combining Scandinavian aesthetics with bold prints and sustainable practices. Holzweiler is known for its iconic scarves, knitwear, and outerwear. With stores in Oslo and international stockists, the brand emphasizes quality, creativity, and environmental responsibility, targeting fashion-forward consumers seeking distinctive Nordic designs with artistic expression.",+47 413 08 954,http://www.linkedin.com/company/holzweiler,luxury goods & jewelry,180,,2012,Norway,,,,,
Nué Notes,,,,,,,https://www.nuenotes.com,"Nué Notes is a Danish accessories and ready-to-wear brand founded in 2016 in Copenhagen. The brand offers minimalist, modern designs focusing on leather goods, jewelry, and clothing. Nué Notes emphasizes quality craftsmanship, timeless aesthetics, and sustainable production. With presence in high-end retailers and online platforms, the brand targets conscious consumers seeking refined, versatile accessories and apparel with Scandinavian design sensibility and responsible values.",+45 92 82 99 29,http://www.linkedin.com/company/nue-notes,,1,,,Denmark,,,,,
Rains,,,,,,,https://www.rains.com,"Rains is a Danish contemporary rainwear brand founded in 2012 in Aarhus. The brand reinterprets traditional rubber rainwear with minimalist, functional designs suitable for modern urban life. Rains offers waterproof jackets, coats, bags, and accessories in sleek, Scandinavian styles. With stores across Europe, North America, and Asia, plus strong e-commerce presence, the brand targets design-conscious consumers seeking practical, stylish rain protection with Nordic aesthetics.",+45 71 99 25 16,http://www.linkedin.com/company/rainsjournal,textiles,310,,2012,Denmark,,,,,
Ganni,,,,,,,https://www.ganni.com,"GANNI is a Danish contemporary fashion brand founded in 2000, relaunched in 2009 by husband-and-wife team Ditte and Nicolaj Reffstrup in Copenhagen. The brand offers playful, colorful ready-to-wear collections characterized by Scandinavian aesthetics and responsible practices. GANNI operates stores globally and has strong wholesale presence. Known for its community-driven approach and sustainability initiatives, the brand targets modern, conscious consumers seeking joyful, accessible luxury with positive impact.",+45 33 32 44 57,http://www.linkedin.com/company/ganni,apparel & fashion,510,150M,2000,Denmark,,,,,
Stine Goya,,,,,,,https://www.stinegoya.com,"Stine Goya is a Danish fashion brand founded in 2006 by designer Stine Goya in Copenhagen. The brand offers bold, colorful collections featuring signature prints, playful designs, and feminine silhouettes. Stine Goya emphasizes creativity, sustainability, and joyful fashion. With showrooms in Copenhagen and stockists worldwide, the brand targets fashion-forward consumers seeking distinctive, artistic pieces that celebrate individuality and Nordic design innovation.",+45 33 93 10 02,http://www.linkedin.com/company/stine-goya-a-s,apparel & fashion,45,,2006,Denmark,,,,,
Han Kjøbenhavn,,,,,,,https://www.hankjobenhavn.com,"Han Kjøbenhavn is a Danish contemporary fashion brand founded in 2008 in Copenhagen by Jannik Davidsen. The brand offers minimalist menswear and unisex designs, specializing in eyewear, outerwear, and urban streetwear. Han Kjøbenhavn combines Scandinavian aesthetics with streetwear culture and architectural influences. With flagship stores in Copenhagen and global distribution, the brand targets design-conscious consumers seeking clean, functional pieces with distinctive Nordic character.",,http://www.linkedin.com/company/han-kjobenhavn,apparel & fashion,24,,2008,Denmark,,,,,
Designers Remix,,,,,,,https://www.designersremix.com,"Designers Remix is a Danish fashion brand founded in 2002 by Charlotte Eskildsen in Copenhagen. The brand offers contemporary womenswear combining Scandinavian minimalism with feminine details and sustainable practices. Designers Remix emphasizes responsible production, ethical sourcing, and circular fashion initiatives. With stores in Copenhagen and international stockists, the brand targets conscious consumers seeking sophisticated, versatile clothing with Nordic design values and environmental commitment.",,http://www.linkedin.com/company/designers-remix,apparel & fashion,12,3.5M,2002,Denmark,,,,,
Rotate Birger Christensen,,,,,,,https://www.rotatebirgerchristensen.com,"ROTATE Birger Christensen is a Danish fashion brand founded in 2018 by Jeanette Madsen and Thora Valdimars in Copenhagen, under the heritage house Birger Christensen. The brand offers party-ready, Instagram-friendly collections featuring bold colors, sculptural silhouettes, and glamorous designs. With strong digital presence and international stockists, ROTATE targets fashion-forward, social media-savvy consumers seeking statement pieces combining Scandinavian aesthetics with global party culture.",,http://www.linkedin.com/company/rotatebirgerchristensen,apparel & fashion,30,,1869,Denmark,,,,,
Remain Birger Christensen,,,,,,,https://www.remainbirgerchristensen.com,"REMAIN Birger Christensen is a Danish contemporary fashion brand launched in 2018 under the heritage house Birger Christensen in Copenhagen. The brand offers elevated essentials combining Scandinavian minimalism with modern femininity and leather expertise. REMAIN emphasizes quality materials, timeless design, and versatile pieces. With international wholesale presence and e-commerce, the brand targets sophisticated consumers seeking refined, wearable luxury with Nordic design sensibility.",+45 33 11 55 55,http://www.linkedin.com/company/remainbirgerchristensen,apparel & fashion,19,,,Denmark,,,,,
Munthe,,,,,,,https://www.munthe.com,"Munthe is a Danish fashion brand founded in 2005 by designer Naja Munthe in Copenhagen. The brand offers contemporary womenswear featuring romantic silhouettes, quality fabrics, and feminine details. Munthe combines Scandinavian design with bohemian influences and sustainable practices. With stores in Denmark and international distribution, the brand targets modern women seeking distinctive, elegant pieces that balance timeless appeal with contemporary trends and responsible production.",+45 33 32 00 12,http://www.linkedin.com/company/munthe,apparel & fashion,61,,1994,Denmark,,,,,
By Malene Birger,,,,,,,https://www.bymalenebirger.com,"By Malene Birger is a Danish fashion brand founded in 2003 by designer Malene Birger in Copenhagen. The brand offers contemporary womenswear characterized by Scandinavian elegance, effortless sophistication, and modern femininity. Collections include ready-to-wear, accessories, and footwear combining quality craftsmanship with versatile design. With international stockists and e-commerce presence, By Malene Birger targets cosmopolitan women seeking refined, wearable pieces with Nordic aesthetic and timeless appeal.",,http://www.linkedin.com/company/by-malene-birger-a-s,apparel & fashion,100,201K,2003,Denmark,,,,,
Axel Arigato,,,,,,,https://www.axelarigato.com,"Axel Arigato is a Swedish footwear and lifestyle brand founded in 2014 in Stockholm by Albin Johansson and Max Svärdh. The brand offers contemporary sneakers, ready-to-wear, and accessories combining Scandinavian minimalism with streetwear culture. Axel Arigato operates cafés and stores in Stockholm, London, Paris, and Copenhagen, creating community-focused retail experiences. The brand targets design-conscious consumers seeking quality, distinctive products with Swedish heritage and global appeal.",+46 722 39 24 84,http://www.linkedin.com/company/axel-arigato-ab,apparel & fashion,250,94M,2014,Sweden,,,,,
A Day's March,,,,,,,https://www.adaysmarch.com,"A Day's March is a Swedish menswear brand founded in 2014 in Stockholm. The brand offers timeless, versatile basics and essentials focusing on quality materials, Scandinavian design, and sustainable practices. A Day's March emphasizes minimalist aesthetics, functional pieces, and responsible production. With stores in Stockholm and online presence, the brand targets conscious consumers seeking durable, well-made wardrobe staples with Nordic sensibility and environmental commitment.",+46 8 611 00 20,http://www.linkedin.com/company/a-days-march,apparel & fashion,57,,2014,Sweden,,,,,
Legendary Service,,,,,,,https://www.legendary.se,"Legendary Service is a Swedish premium knitwear brand founded in 2015, specializing in high-quality sweaters and knitted garments. The brand focuses on exceptional craftsmanship, luxurious materials, and timeless Scandinavian design. Legendary Service operates primarily online with select retail partners, targeting consumers seeking investment pieces with superior quality, comfort, and longevity. The brand emphasizes sustainable production and enduring style over fast fashion trends.",,,,,,,,,,,,
Rodebjer,,,,,,,https://www.rodebjer.com,"Rodebjer is a Swedish fashion brand founded in 1999 by designer Carin Rodebjer in Stockholm. The brand offers contemporary womenswear characterized by feminine silhouettes, quality craftsmanship, and Scandinavian aesthetics. Rodebjer emphasizes sustainable practices, ethical production, and timeless design. With showrooms in Stockholm and international stockists, the brand targets conscious consumers seeking sophisticated, versatile pieces that combine elegance with environmental responsibility and Nordic design values.",+46 8 20 66 14,http://www.linkedin.com/company/rodebjer-form-ab,apparel & fashion,38,,,Sweden,,,,,
Totême,,,,,,,https://www.toteme-studio.com,"Totême is a Swedish fashion brand founded in 2014 by Elin Kling and Karl Lindman in Stockholm. The brand offers minimalist, contemporary womenswear featuring clean lines, neutral palettes, and timeless silhouettes. Totême emphasizes quality materials, precise tailoring, and Scandinavian aesthetics. With flagship stores in Stockholm, Paris, London, and New York, plus international distribution, the brand targets sophisticated consumers seeking refined, versatile wardrobe essentials with understated luxury.",+46 8 20 38 20,http://www.linkedin.com/company/toteme,apparel & fashion,200,188M,2014,Sweden,,,,,
Nanushka,,,,,,,https://www.nanushka.com,"Nanushka is a Hungarian contemporary fashion brand founded in 2006 by designer Sandra Sándor in Budapest. The brand offers sophisticated, sustainable ready-to-wear collections featuring innovative vegan leather, organic materials, and minimalist design. Nanushka combines Central European craftsmanship with modern femininity and environmental consciousness. With flagship stores in New York, London, and Paris, plus global wholesale presence, the brand targets conscious consumers seeking luxury with responsible values.",+36 70 336 3614,http://www.linkedin.com/company/nanushka-international,apparel & fashion,140,56.6M,2005,Hungary,,,,,
Magda Butrym,,,,,,,https://www.magdabutrym.com,"Magda Butrym is a Polish luxury fashion brand founded in 2014 by designer Magda Butrym in Krakow. The brand offers feminine, romantic ready-to-wear collections featuring intricate details, quality craftsmanship, and bold designs. Known for signature rose embellishments and sophisticated silhouettes, Magda Butrym has gained international recognition. With stockists in luxury retailers worldwide, the brand targets fashion-forward consumers seeking distinctive, glamorous pieces with European craftsmanship and artistic expression.",,http://www.linkedin.com/company/magda-butrym,apparel & fashion,53,,,Poland,,,,,
Jigsaw,,,,,,,https://www.jigsaw-online.com,"Jigsaw is a British fashion brand founded in 1970 in London. The brand offers contemporary clothing, accessories, and footwear for men and women, emphasizing quality, craftsmanship, and thoughtful design. Jigsaw combines British heritage with modern aesthetics and sustainable practices. With stores across the UK and international presence, the brand targets discerning consumers seeking versatile, well-made pieces that balance timeless appeal with contemporary style and responsible production values.",+44 20 8392 5603,http://www.linkedin.com/company/jigsaw-uk,apparel & fashion,1000,72M,1970,United Kingdom,,,,,
Whistles,,,,,,,https://www.whistles.com,"Whistles is a British contemporary fashion brand founded in 1976 in London. The brand offers modern womenswear characterized by clean lines, quality fabrics, and sophisticated design. Whistles emphasizes versatile, wearable collections combining British tailoring with contemporary trends. With stores across the UK and international stockists, the brand targets urban, fashion-conscious women seeking refined, accessible pieces with distinctive style and attention to detail.",+44 330 363 3363,http://www.linkedin.com/company/whistles,apparel & fashion,680,95.6M,1978,United Kingdom,,,,,
Hobbs,,,,,,,https://www.hobbs.com,"Hobbs is a British women's fashion brand founded in 1981 in Hampstead, London. The brand offers contemporary clothing, footwear, and accessories emphasizing British elegance, quality craftsmanship, and timeless style. Hobbs provides tailored workwear, occasion dresses, and everyday essentials. With stores across the UK and international presence, the brand targets professional women seeking sophisticated, versatile pieces combining classic British design with modern femininity and excellent fit.",+44 20 3095 3939,http://www.linkedin.com/company/hobbs-ltd,retail,670,152M,1981,United Kingdom,,,,,
LK Bennett,,,,,,,https://www.lkbennett.com,"L.K.Bennett is a British luxury fashion brand founded in 1990 by Linda Kristin Bennett in London. The brand offers elegant footwear, clothing, and accessories for women, known for quality craftsmanship and timeless British style. L.K.Bennett combines classic design with modern sophistication, creating versatile pieces suitable for professional and social occasions. With international presence and e-commerce, the brand targets discerning women seeking refined, feminine designs with British heritage.",+1 212-309-7559,http://www.linkedin.com/company/lk-bennett,retail,280,91.7M,1990,United Kingdom,,,,,
Boden,,,,,,,https://www.boden.co.uk,"Boden is a British clothing brand founded in 1991 by Johnnie Boden in London. Originally a mail-order catalog company, Boden now offers colorful, contemporary clothing for men, women, and children through catalogs and e-commerce. The brand is known for quality fabrics, cheerful prints, and British charm. With strong presence in the UK and USA, Boden targets families seeking well-made, distinctive casual wear with personality and responsible production practices.",+44 20 8328 7000,http://www.linkedin.com/company/boden,apparel & fashion,870,456M,1991,United Kingdom,,,,,
ME+EM,,,,,,,https://www.meandem.com,"ME+EM is a British contemporary fashion brand founded in 2009 by Clare Hornby in London. The brand offers modern womenswear focusing on versatile, high-quality essentials that transition seamlessly between occasions. ME+EM emphasizes exceptional fit, luxurious fabrics, and thoughtful design. With flagship stores in London and international e-commerce, the brand targets sophisticated women seeking refined, wearable pieces that combine elegance with practicality and British design sensibility.",+44 84 5680 0975,http://www.linkedin.com/company/me&em-ltd,apparel & fashion,340,30.5M,2009,United Kingdom,,,,,
